STORAGE_GEN_BLD_YRS_1,STORAGE_GEN_BLD_YRS_2,BuildStorageEnergy
Oahu_Battery_Bulk,2020,0.0
Oahu_Battery_Bulk,2023,1582.788
Oahu_Battery_Bulk,2025,815.0
Oahu_Battery_Bulk,2030,1643.105982542385
Oahu_Battery_Bulk,2035,212.56975455991267
Oahu_Battery_Bulk,2040,2687.636587857102
Oahu_Battery_Bulk,2045,2970.639542122179
Oahu_Battery_Bulk,2050,0.0
Oahu_Battery_Conting,2020,0.0
Oahu_Battery_Conting,2023,0.0
Oahu_Battery_Conting,2025,0.0
Oahu_Battery_Conting,2030,0.0
Oahu_Battery_Conting,2035,0.0
Oahu_Battery_Conting,2040,0.0
Oahu_Battery_Conting,2045,0.0
Oahu_Battery_Conting,2050,0.0
Oahu_Battery_Reg,2020,0.0
Oahu_Battery_Reg,2023,0.0
Oahu_Battery_Reg,2025,0.0
Oahu_Battery_Reg,2030,0.0
Oahu_Battery_Reg,2035,0.0
Oahu_Battery_Reg,2040,0.0
Oahu_Battery_Reg,2045,0.0
Oahu_Battery_Reg,2050,0.0
Oahu_DistBattery,2020,127.764
Oahu_DistBattery,2023,103.184
Oahu_DistBattery,2025,33.096000000000004
Oahu_DistBattery,2030,133.548
Oahu_DistBattery,2035,307.32
Oahu_DistBattery,2040,331.168
Oahu_DistBattery,2045,338.03999999999996
Oahu_DistBattery,2050,307.32
